n,method,db,dg,depth,p_succ,energy,approx_ratio,feas_ratio,feas_approx_ratio,p_opt,p_999,p_99,p_9,rnd_approx_ratio,min_val,rnd_val,max_val
5,linear,0.5701348959121844,0.8282362342174561,15,0.0,-553.9032106396847,0.9616375184716749,0.9994579166284802,0.9621590889145322,0.22850007972980257,0.22850007972980257,0.22850007972980257,0.9500838505621871,0.9496656278808309,-576.0,-137.0,0.0
5,bfgs,,,15,0.0,-561.3960345905017,0.9746458933862875,0.9986173899383561,0.9759953143279947,0.31740511055682785,0.31740511055682785,0.31740511055682785,0.9953019461536601,0.9667335639874753,-576.0,-137.0,0.0
6,linear,0.49148861666396365,0.7549714357271767,20,0.1986980256633494,-557.2289040687637,0.9707820628375674,0.9987665217983608,0.9719809801890386,0.1986980256633494,0.1986980256633494,0.3903754079738677,0.9490910422336535,0.9656615861667692,-574.0,-85.59375,0.0
6,bfgs,,,20,0.22533082638393906,-562.1694995603253,0.9793893720563158,0.9995858220333795,0.9797951816323488,0.22533082638393906,0.22533082638393906,0.44513373296135794,0.99722168373878,0.9757773361015043,-574.0,-85.59375,0.0
7,linear,0.41296592510384317,0.8011246953241589,22,0.9942449706520871,-944.8260538880761,0.972043265316951,0.9978753515600709,0.9741129127974408,0.15761602884867779,0.15761602884867779,0.443144051191477,0.9859012379012674,0.953183682804912,-972.0,-391.5625,0.0
7,bfgs,,,22,0.9998427968982893,-962.9630757242184,0.9907027528026939,0.9998866448805556,0.9908150667629342,0.23873817198013828,0.23873817198013828,0.6894283751669164,0.9998425662692167,0.9844308400546457,-972.0,-391.5625,0.0
8,linear,0.42057349024568275,0.7118583655763464,28,0.8266059819715093,-882.9211884670397,0.9514236944687928,0.9965128964092977,0.9547530171431063,0.1494919148631562,0.1494919148631562,0.1494919148631562,0.9455569060275315,0.9379547100344209,-928.0,-201.453125,0.0
8,bfgs,,,28,0.9892914969561907,-905.4821658010986,0.9757350924580802,0.998412184524777,0.9772868436321311,0.4251946507956539,0.4251946507956539,0.4251946507956539,0.9933876960834854,0.9690070455551799,-928.0,-201.453125,0.0
9,linear,0.4479855002380955,0.5673258725958061,28,0.0,-879.8815028668542,0.9669027504031361,0.9983336465027662,0.9685166414958217,0.07153726600005597,0.07153726600005597,0.1668799867335224,0.9869955946845596,0.9573420714691985,-910.0,-203.953125,0.0
9,bfgs,,,28,0.0,-891.6383352393432,0.9798223464168605,0.998173406493646,0.9816153586567201,0.17753967185751346,0.17753967185751346,0.35533495685019556,0.9964050551011769,0.973993702952574,-910.0,-203.953125,0.0
10,linear,0.3553956828437676,0.5251773515454938,40,0.03137735617001084,-992.2339676747056,0.9540711227641399,0.9991908439975885,0.9548437403079751,0.03137735617001084,0.03137735617001084,0.19580489842425694,0.7904170111338366,0.9347970930070619,-1040.0,-307.4248046875,0.0
10,bfgs,,,40,0.04773787893311771,-1017.8239105311219,0.9786768370491559,0.9996811182312036,0.9789890187991027,0.04773787893311771,0.04773787893311771,0.2714552881133377,0.9757071596394514,0.9697285826618546,-1040.0,-307.4248046875,0.0
11,linear,0.3135061235286733,0.5249298831565169,41,0.9497558026827747,-1084.8643708987433,0.9643238852433272,0.9986262312903247,0.9656504656375035,0.0645088834922098,0.0645088834922098,0.0645088834922098,0.9481530505673611,0.9463767310450143,-1125.0,-376.52587890625,0.0
11,bfgs,,,41,0.9889066490318148,-1097.9620909777668,0.9759663030913486,0.9997559648822546,0.9762045312790829,0.09430734458701681,0.09430734458701681,0.09430734458701681,0.988456322347687,0.9638759600896788,-1125.0,-376.52587890625,0.0
12,linear,0.32374471421189127,0.4687661165258308,45,0.07120119629848687,-1058.0665741775845,0.9514987177855979,0.9982745222384439,0.9531433454317155,0.07120119629848687,0.07120119629848687,0.15899256632455058,0.9157188977192838,0.9432284105106575,-1112.0,-161.99267578125,0.0
12,bfgs,,,45,0.1349634163782592,-1081.4201707519126,0.972500153553879,0.9994938379989186,0.9729926454583417,0.1349634163782592,0.1349634163782592,0.3295289434694213,0.985786790707022,0.9678109542226581,-1112.0,-161.99267578125,0.0
13,linear,0.28161457738284273,0.43325500822188473,52,0.0,-970.4188773285745,0.9224514043047273,0.9978854450545405,0.9244061118200895,0.03456592257955763,0.03456592257955763,0.06770824295997188,0.6593377809981734,0.9118634758946167,-1052.0,-126.3778076171875,0.0
13,bfgs,,,52,0.0,-991.4207124661186,0.9424151259183636,0.9986616452415947,0.9436781019965736,0.09595671389372688,0.09595671389372688,0.1727303004456191,0.790267717362196,0.9345529007057045,-1052.0,-126.3778076171875,0.0
14,linear,0.2888261834705832,0.37942509074920816,46,0.042613215569137816,-1051.2453946556482,0.9428209817539437,0.9959378820636705,0.9466664525304892,0.02009760125965232,0.02009760125965232,0.02009760125965232,0.8322150854335292,0.9343396659790753,-1115.0,-144.0240478515625,0.0
14,bfgs,,,46,0.0584412205334645,-1073.0413616588469,0.9623689342231818,0.9992500457089637,0.9630912086077366,0.029078793039641528,0.029078793039641528,0.029078793039641528,0.9837483993423903,0.956787149827642,-1115.0,-144.0240478515625,0.0
15,linear,0.25483391580740006,0.39916786609521615,50,0.24782838383483932,-1046.1669237265558,0.9433425822601915,0.9940558969073411,0.9489834376467899,0.10053485148489552,0.10053485148489552,0.10053485148489552,0.9055504960497939,0.9260677339930437,-1109.0,-259.12646484375,0.0
15,bfgs,,,50,0.42109353607096256,-1071.0559124143624,0.9657853132681342,0.9991719350711923,0.9665857089944393,0.1949935437770535,0.1949935437770535,0.1949935437770535,0.9723660150179204,0.9553532543184069,-1109.0,-259.12646484375,0.0
16,linear,0.26421972830012436,0.3598353030128813,61,0.07781516136549955,-1023.7575557584573,0.947046767584143,0.9979170418047992,0.9490235439524572,0.0019048861114712985,0.004551446285500256,0.01865331771078022,0.9569380206255268,0.9418050151385555,-1081.0,-97.36808776855469,0.0
16,bfgs,,,61,0.150651542284408,-1038.255116584123,0.9604580171916005,0.9996257183325271,0.9608176336176483,0.002804737952724817,0.006928292250454066,0.02580855976948299,0.9860302640046247,0.9565438220493407,-1081.0,-97.36808776855469,0.0
17,linear,0.2626339064206387,0.33669290708572214,57,0.9467674668609861,-1114.9959334210107,0.9529879772829154,0.9945280282649762,0.9582313923776182,0.08211470164119654,0.08211470164119654,0.11817037632911244,0.9649652508080236,0.9481549310170735,-1170.0,-109.0685043334961,0.0
17,bfgs,,,57,0.9843460870224212,-1133.6607956598198,0.9689408509912989,0.9989000160373632,0.9700078440634005,0.15415272809989825,0.15415272809989825,0.20960152582075153,0.9899705926556892,0.9657478315154071,-1170.0,-109.0685043334961,0.0
18,linear,0.2337592719174618,0.3241290925294289,70,0.0,-1015.8682540113681,0.9362841050795967,0.9945996437988537,0.9413678266598589,0.039843417710765036,0.039843417710765036,0.0649883466075245,0.900623563721314,0.9307968946447039,-1085.0,-86.03115844726562,0.0
18,bfgs,,,70,0.0,-1035.4929988122194,0.9543714274766957,0.9994530304646074,0.9548937252539471,0.09411561204807542,0.09411561204807542,0.14278912104324976,0.9539831184810114,0.9504418965552218,-1085.0,-86.03115844726562,0.0
19,linear,0.23542870170016636,0.2920062580574426,64,0.0499229351659632,-1047.0957206148164,0.9274541369484632,0.9916956493556878,0.9352205362109204,0.00018932636900229166,0.00018932636900229166,0.022941793730912995,0.8748035657870832,0.9205640816877573,-1129.0,-97.9263858795166,0.0
19,bfgs,,,64,0.1134453247907889,-1069.61221441377,0.9473978869918364,0.9994361897841486,0.9479323409295883,0.0003018042677853567,0.0003018042677853567,0.05437037009485347,0.9559063193619948,0.9424019926677221,-1129.0,-97.9263858795166,0.0
20,linear,0.2163482127822499,0.305803025237582,64,0.01645454230997234,-1038.6092759261571,0.9174993603587855,0.9925634406460869,0.9243735188972504,9.132699345228403e-05,0.00019945906893609815,0.0008506360117310691,0.780010153419823,0.8974512992318894,-1132.0,-221.30368328094482,0.0
20,bfgs,,,64,0.03465928392157008,-1062.341525511789,0.9384642451517963,0.9992935594355169,0.9391276830423264,0.0002107472310402848,0.000363592474166825,0.0011412921189356256,0.895127295463653,0.9235107541236491,-1132.0,-221.30368328094482,0.0
